Ticker;Entree;Sortie;Raison;Prix_E;Prix_S;Pnl%;Mise_EUR;PnL_EUR;Capital_Avant;Capital_Apres;Cumul_PnL
AAP;2018-12-03;2019-01-02;DROPPED_FROM_TOP;156,0068184;138,27;-11,37;352,12;-40,04;1760,6;1116,91;-35,69
FOSL;2018-12-03;2019-01-02;REBALANCE_ADJUST;20,71069053;16,62;-19,77;281,7;-55,69;1408,48;1342,92;-91,38
M;2018-12-03;2019-01-02;DROPPED_FROM_TOP;25,05240928;22,66;-9,57;225,36;-21,57;1126,78;1546,71;-112,95
UAA;2018-12-03;2019-01-02;DROPPED_FROM_TOP;24,01398977;17,79;-25,91;180,29;-46,71;901,43;1680,28;-159,66
THC;2019-01-02;2019-02-01;ABSOLUTE_MOMENTUM_OFF;17,78777046;22,08;24,12;392,98;94,79;1964,92;2168,05;-123,17
FOSL;2019-01-02;2019-02-01;ABSOLUTE_MOMENTUM_OFF;16,61660038;16,77;0,94;314,39;2,96;1571,93;2485,4;-28,38
HCA;2019-01-02;2019-02-01;ABSOLUTE_MOMENTUM_OFF;114,4793781;131,09;14,51;251,51;36,49;1257,55;2773,4;-25,42
TRIP;2019-01-02;2019-02-01;ABSOLUTE_MOMENTUM_OFF;48,26473874;51,19;6,06;201,21;12,19;1006,04;2986,8;-13,23
SE;2019-04-01;2019-05-01;REBALANCE_ADJUST;23,37335038;24,99;6,94;597,36;41,46;2986,8;959,52;-25,32
CMG;2019-04-01;2019-05-01;REBALANCE_ADJUST;14,12891525;13,78;-2,43;477,89;-11,61;2389,44;1425,8;-57,51
LLY;2019-04-01;2019-05-01;REBALANCE_ADJUST;117,7624278;107,84;-8,42;382,31;-32,19;1911,55;1775,92;-58,12
ANDV;2019-04-01;2019-05-01;DROPPED_FROM_TOP;153,6535;153,35;-0,2;305,85;-0,61;1529,24;2081,15;-69,73
AES;2019-04-01;2019-05-01;REBALANCE_ADJUST;13,74867261;13,07;-4,94;244,68;-12,09;1223,39;2313,74;-28,27
AES;2019-05-01;2019-06-03;DROPPED_FROM_TOP;13,07008866;12,3;-5,93;195,74;-11,61;978,71;942,3;-39,88
AZO;2019-05-01;2019-06-03;REBALANCE_ADJUST;1024,923924;1038,69;1,34;156,59;2,1;782,97;1101;-37,78
CMG;2019-05-01;2019-06-03;REBALANCE_ADJUST;13,78497138;12,85;-6,81;125,28;-8,53;626,38;1217,74;-46,31
LLY;2019-05-01;2019-06-03;DROPPED_FROM_TOP;107,8431862;106,94;-0,84;100,22;-0,84;501,1;1317,12;-47,15
SE;2019-05-01;2019-06-03;REBALANCE_ADJUST;24,99496931;28;12,01;80,18;9,63;400,88;1406,92;-37,52
AZO;2019-06-03;2019-07-01;REBALANCE_ADJUST;1038,687674;1099,89;5,89;462,75;27,26;2313,74;1066,28;-10,26
CMG;2019-06-03;2019-07-01;DROPPED_FROM_TOP;12,84603366;14,49;12,82;370,2;47,46;1851;1483,94;37,2
QCOM;2019-06-03;2019-07-01;DROPPED_FROM_TOP;56,41892283;66,08;17,12;296,16;50,7;1480,8;1830,8;87,9
SE;2019-06-03;2019-07-01;REBALANCE_ADJUST;27,99796931;34,3;22,52;236,93;53,36;1184,64;2121,08;141,26
VRSN;2019-06-03;2019-07-01;DROPPED_FROM_TOP;186,6872332;207,92;11,38;189,54;21,57;947,71;2332,2;162,83
SE;2019-07-01;2019-08-01;REBALANCE_ADJUST;34,30427046;35,33;2,98;281,38;8,39;1406,92;1053,98;163,36
MKC;2019-07-01;2019-08-01;DROPPED_FROM_TOP;67,93573438;68,8;1,28;225,11;2,88;1125,54;1281,97;164,91
CHD;2019-07-01;2019-08-01;DROPPED_FROM_TOP;67,71784245;68,3;0,86;180,09;1,55;900,43;1463,61;167,79
AZO;2019-07-01;2019-08-01;REBALANCE_ADJUST;1099,888829;1103,92;0,37;144,07;0,53;720,35;1608,21;176,18
AZO;2019-08-01;2019-09-03;REBALANCE_ADJUST;1103,922766;1103,93;0;466,44;0;2332,2;993,42;176,18
CINF;2019-08-01;2019-09-03;DROPPED_FROM_TOP;89,54159295;94,74;5,8;373,15;21,64;1865,76;1388,21;197,82
CMG;2019-08-01;2019-09-03;REBALANCE_ADJUST;15,82440903;16,57;4,74;298,52;14,15;1492,61;1700,88;211,97
SBUX;2019-08-01;2019-09-03;REBALANCE_ADJUST;81,84382413;83,35;1,84;238,82;4,39;1194,08;1944,09;216,36
SE;2019-08-01;2019-09-03;REBALANCE_ADJUST;35,32529092;30,91;-12,5;191,05;-23,88;955,27;2111,27;192,48
AZO;2019-09-03;2019-10-01;DROPPED_FROM_TOP;1103,932786;1082,59;-1,93;321,64;-6,21;1608,21;1180,21;186,27
CMG;2019-09-03;2019-10-01;REBALANCE_ADJUST;16,57395715;16,59;0,12;257,31;0,31;1286,57;1437,83;186,58
HSY;2019-09-03;2019-10-01;REBALANCE_ADJUST;136,430056;132,13;-3,15;205,85;-6,48;1029,25;1637,2;180,1
SBUX;2019-09-03;2019-10-01;REBALANCE_ADJUST;83,35129629;74,51;-10,6;164,68;-17,46;823,4;1784,42;162,64
SE;2019-09-03;2019-10-01;REBALANCE_ADJUST;30,91087916;31,32;1,33;131,74;1,75;658,72;1917,92;164,39
SE;2019-10-01;2019-11-01;REBALANCE_ADJUST;31,32129092;29,93;-4,44;422,25;-18,75;2111,27;1031,97;147,48
SBUX;2019-10-01;2019-11-01;DROPPED_FROM_TOP;74,51400713;71,53;-4,01;337,8;-13,55;1689,01;1356,23;127,86
CMG;2019-10-01;2019-11-01;REBALANCE_ADJUST;16,59337619;15,39;-7,26;270,24;-19,62;1351,21;1606,85;109,11
HSY;2019-10-01;2019-11-01;DROPPED_FROM_TOP;132,1306101;121,8;-7,82;216,19;-16,91;1080,97;1806,14;95,56
AMT;2019-11-01;2019-12-02;DROPPED_FROM_TOP;178,5034747;173,23;-2,96;383,58;-11,35;1917,92;1112,02;84,21
CMG;2019-11-01;2019-12-02;REBALANCE_ADJUST;15,3879722;16,29;5,87;306,87;18,01;1534,34;1436,9;102,22
KLAC;2019-11-01;2019-12-02;REBALANCE_ADJUST;15,94515515;14,97;-6,14;245,49;-15,07;1227,47;1667,32;87,15
LRCX;2019-11-01;2019-12-02;REBALANCE_ADJUST;25,80404326;24,38;-5,51;196,39;-10,82;981,97;1852,9;76,33
