Ticker;Entree;Sortie;Raison;Prix_E;Prix_S;Pnl%;Mise_EUR;PnL_EUR;Capital_Avant;Capital_Apres;Cumul_PnL
WDC;2026-02-02;2026-03-02;REBALANCE_ADJUST;270,3003648;270,15;-0,06;1834,97;-1,1;9174,83;4910,13;12660,49
STX;2026-02-02;2026-03-02;REBALANCE_ADJUST;432,6283021;379,24;-12,34;1467,97;-181,15;7339,87;6196,96;12634,75
MU;2026-02-02;2026-03-02;REBALANCE_ADJUST;438,0537661;412,91;-5,74;1174,38;-67,41;5871,89;7303,93;12453,6
LRCX;2026-02-02;2026-03-02;REBALANCE_ADJUST;237,4530056;230,95;-2,74;939,5;-25,74;4697,51;8217,69;12452,5
NEM;2026-02-02;2026-03-02;DROPPED_FROM_TOP;112,472078;128,04;13,84;751,6;104,02;3758,01;9073,31;12385,09
LRCX;2026-03-02;2026-04-01;DROPPED_FROM_TOP;230,9542953;221,79;-3,97;1877,61;-74,54;9388,03;5519,49;12310,55
MU;2026-03-02;2026-04-01;REBALANCE_ADJUST;412,9092314;368,22;-10,82;1502,08;-162,53;7510,42;6859,05;12148,02
STX;2026-03-02;2026-04-01;REBALANCE_ADJUST;379,2379594;423,54;11,68;1201,67;140,35;6008,34;8201,08;12288,37
TE;2026-03-02;2026-04-01;REBALANCE_ADJUST;6,846840153;4,48;-34,5;961,33;-331,66;4806,67;8830,75;11956,71
WDC;2026-03-02;2026-04-01;REBALANCE_ADJUST;270,150282;297,95;10,29;769,07;79,14;3845,34;9678,95;12035,85
WDC;2026-04-01;2026-05-01;REBALANCE_ADJUST;297,9500572;431,84;44,94;1814,66;815,51;9073,31;6594,67;12172,71
MU;2026-04-01;2026-05-01;REBALANCE_ADJUST;368,2178561;542,75;47,4;1451,73;688,12;7258,65;8734,52;12988,22
STX;2026-04-01;2026-05-01;REBALANCE_ADJUST;423,5431151;727,66;71,8;1161,38;833,87;5806,92;10729,78;13676,34
TE;2026-04-01;2026-05-01;DROPPED_FROM_TOP;4,484480019;5,14;14,73;929,11;136,86;4645,54;11795,75;14510,21
MU;2026-05-01;2026-06-01;REBALANCE_ADJUST;542,752232;1036,54;90,98;1935,79;1761,18;9678,95;15492,72;14924,16
STX;2026-05-01;2026-06-01;REBALANCE_ADJUST;727,6569227;922,18;26,73;1548,63;413,95;7743,16;17455,3;14867,29
FOSL;2026-05-01;2026-06-01;DROPPED_FROM_TOP;4,324320172;4,13;-4,59;1238,91;-56,87;6194,53;18637,34;16628,47
WDC;2026-05-01;2026-06-01;REBALANCE_ADJUST;431,8389087;546,6;26,58;991,12;263,44;4955,62;19891,91;16891,91
